CruiseAir      CA1000  070010  12   . 144  156 36900  130016JAN199120AUG2002   530
CruiseAir      CA1000  070012  16   . 138  154 36900  130027JUN199221NOV2002   530
CruiseAir      CA1000  070028  20   . 132  152 36900  130031MAR199303SEP2002   530
CruiseAir      CA1000  070029  20   . 132  152 36900  130030JUL199711APR2002   530
CruiseAir      CA1000  070030  24   . 126  150 36900  130008FEB199825AUG2002   530
CruiseAir      CA3000  130001   8   . 132  140 39700  166131AUG199101SEP2002   510
CruiseAir      CA3000  130002   8   . 132  140 39700  166122SEP199229SEP2002   510
CruiseAir      CA3000  130005   8   . 132  140 39700  166102JUN199211NOV2002   510
CruiseAir      CA3000  130006  12   . 126  138 39700  166104OCT199323APR2003   510
CruiseAir      CA3000  130007  12   . 126  138 39700  166125APR199305FEB2003   510
CruiseAir      CA3000  130010  12   . 126  138 39700  166126JUL199407AUG2002   510
CruiseAir      CA3000  130011  16   . 120  136 39700  166105OCT199527JUL2002   510
CruiseAir      CA3000  130012  16   . 120  136 39700  166121OCT199516FEB2003   510
CruiseAir      CA3000  130013  16   . 120  136 39700  166115DEC199607NOV2002   510
CruiseAir      CA3000  130014  20   . 114  134 39700  166121SEP199608SEP2002   510
CruiseAir      CA3000  130015  20   . 114  134 39700  166108JUN199807FEB2003   510
CruiseAir      CA3000  130016  24   . 108  132 39700  166122FEB199812JAN2003   510
CruiseAir      EC3000  330203   8   . 132  140 39700  166117OCT199230DEC2002   510
CruiseAir      EC3000  330204   8   . 132  140 39700  166107NOV199227JAN2003   510
CruiseAir      EC3000  330207   8   . 132  140 39700  166119JUL199311JAN2003   510
CruiseAir      EC3000  330208  12   . 126  138 39700  166119NOV199428FEB2003   510
CruiseAir      EC3000  330209  12   . 126  138 39700  166111JUN199528MAR2003   510
CruiseAir      EC3000  330212  12   . 126  138 39700  166110SEP199605DEC2002   510
CruiseAir      EC3400  430213  12   . 126  138 39700  166120NOV199424NOV2002   510
CruiseAir      EC3400  430214  12   . 126  138 39700  166106DEC199528DEC2002   510
CruiseAir      EC3400  430215  16   . 120  136 39700  166131JAN199604SEP2002   510
CruiseAir      EC3400  430216  16   . 120  136 39700  166106NOV199606MAR2003   510
CruiseAir      EC3400  430217  16   . 120  136 39700  166124JUL199728FEB2003   510
CruiseAir      EC3400  430218  16   . 120  136 39700  166109APR199728JAN2003   510
CruiseAir      ES2000  270212  12   . 144  156 36900  130003MAR199217SEP2002   530
CruiseAir      ES2000  270214  16   . 138  154 36900  130012AUG199321FEB2003   530
CruiseAir      ES2000  270230  20   . 132  152 36900  130016MAY199501JAN2003   530
CruiseAir      ES2000  270231  20   . 132  152 36900  130014SEP199608SEP2002   530
CruiseAir      ES2000  270232  24   . 126  150 36900  130026MAR199723DEC2002   530
JetCruise      JF4000  010001  16   . 252  268 77400  288009OCT199028JUL2002   530
JetCruise      JF4000  010002  16   . 252  268 77400  288003DEC199115AUG2002   530
JetCruise      JF4000  010003  24   . 240  264 77400  288004DEC199209OCT2002   530
JetCruise      JF4000  010004  24   . 240  264 77400  288028APR199524FEB2003   530
JetCruise      JF4100  110102  12   . 258  270 77400  288006JUN199030JUL2002   530
JetCruise      JF4100  110103  16   . 252  268 77400  288030JUL199119OCT2002   530
JetCruise      JF4100  110104  20   . 246  266 77400  288031JUL199313DEC2002   530
JetCruise      JF4100  110105  20   . 246  266 77400  288023DEC199712APR2003   530
JetCruise      JF4230  210203  12   . 258  270 77400  288024NOV199023SEP2002   530
JetCruise      JF4230  210204  12   . 258  270 77400  288018JAN199513DEC2002   530
JetCruise      JF4230  210205  20   . 246  266 77400  288019JAN199706FEB2003   530
JetCruise      JF4230  210206  20   . 246  266 77400  288013JUN199828MAR2003   530
JetCruise      LF5200  030001  12  30 180  222 82400  525001JUN199009NOV2002   530
JetCruise      LF5200  030002  16  30 174  220 82400  525015MAR199129AUG2002   530
JetCruise      LF5200  030003  20  30 168  218 82400  525010JUL199612NOV2002   530
JetCruise      LF5210  130102  20  30 168  218 82400  525027JAN199213JAN2003   530
JetCruise      LF5210  130103  16  30 174  220 82400  525010NOV199502NOV2002   530
JetCruise      LF5210  130104  20  30 168  218 82400  525007MAR199812MAR2003   530
JetCruise      LF5230  230203  12  30 180  222 82400  525018JUL199309OCT2002   530
JetCruise      LF5230  230204  12  30 180  222 82400  525030APR199727DEC2002   530
JetCruise      LF5230  230205  20  30 168  218 82400  525026AUG199928JAN2003   530
JetCruise      LF8100  100001  16  30 204  250105500  626028FEB199022DEC2002   530
JetCruise      LF8100  100002  16  30 204  250105500  626010MAR199112JUN2002   530
JetCruise      LF8100  100003  20  36 192  248105500  626014AUG199115APR2003   530
JetCruise      LF8100  100004  24  30 186  240105500  626014JAN199203FEB2003   530
JetCruise      LF8200  200102  16  30 204  250105500  626026OCT199212APR2003   530
JetCruise      LF8200  200103  16  30 204  250105500  626005NOV199316AUG2002   530
JetCruise      LF8200  200104  20  36 192  248105500  626010APR199312FEB2003   530
JetCruise      LF8200  200105  20  36 192  248105500  626010SEP199812APR2003   530
JetCruise      LF8310  300203  16  30 204  250105500  626016APR199415MAR2003   530
JetCruise      LF8310  300204  20  30 198  248105500  626026APR199510OCT2002   530
JetCruise      LF8310  300205  24  30 192  246105500  626029SEP199828MAR2003   530
JetCruise      LF8310  300206  24  30 186  240105500  626001MAR199828FEB2003   530
JetCruise      MF2100  120009  28  24 186  238 85900  287806DEC199127MAR2003   540
JetCruise      MF2100  120010  24  30 186  240 85900  287816OCT199727AUG2002   540
JetCruise      MF2220  220110  16  30 186  232 85900  287802AUG199612NOV2002   540
JetCruise      MF2220  220111  24  30 172  224 85900  287813JUN199831OCT2002   540
JetCruise      MF3200  320211  24  24 178  226 85900  287821JAN199528APR2003   540
JetCruise      MF3200  320212  28  30 180  238 85900  287802DEC199825DEC2002   540
SpeedAir       PL1000  170111  12   . 144  156 36900  130013SEP199224JUL2002   530
SpeedAir       PL1000  170113  16   . 138  154 36900  130022FEB199425JAN2003   530
SpeedAir       PL1000  170129  20   . 132  152 36900  130026NOV199507NOV2002   530
SpeedAir       PL1000  170130  20   . 132  152 36900  130026MAR199615JUL2002   530
SpeedAir       PL1000  170131  24   . 126  150 36900  130006OCT199829OCT2002   530
SpeedAir       PL3000  230102   8   . 132  140 39700  178528APR199405NOV2002   510
SpeedAir       PL3000  230103   8   . 132  140 39700  178520MAY199503DEC2002   510
SpeedAir       PL3000  230106   8   . 132  140 39700  178528JAN199515JAN2003   510
SpeedAir       PL3000  230107  12   . 126  138 39700  178531MAY199512JAN2003   510
SpeedAir       PL3000  230108  12   . 126  138 39700  178521DEC199611APR2003   510
SpeedAir       PL3000  230111  12   . 126  138 39700  178522MAR199611OCT2002   510
SpeedAir       PL3000  230112  16   . 120  136 39700  178501JUN199730SEP2002   510
SpeedAir       PL3000  230113  16   . 120  136 39700  178517JUN199722MAR2003   510
SpeedAir       PL3000  230114  16   . 120  136 39700  178512AUG199811JUL2002   510
SpeedAir       PL3000  230115  20   . 114  134 39700  178518MAY199812NOV2002   510
SpeedAir       PL3000  230116  20   . 114  134 39700  178503FEB199913APR2003   510
SpeedAir       PL3000  230117  24   . 108  132 39700  178520OCT199912FEB2003   510
CruiseAir      CA1000  070031  12   . 144  156 36900  130016JAN200020AUG2002   530
CruiseAir      CA1000  070032  16   . 138  154 36900  130027JUN200021NOV2002   530
CruiseAir      CA1000  070033  20   . 132  152 36900  130031MAR200003SEP2002   530
CruiseAir      CA1000  070034  20   . 132  152 36900  130030JUL200011APR2002   530
